,latitude,longitude
0,52.47169283545967,4.537125962881187
1,52.508,4.452
2,52.544,4.366
3,52.581,4.281
4,52.617,4.196
5,52.653,4.11
6,52.69,4.025
7,52.726,3.939
8,52.762,3.854
9,52.799,3.769
10,52.835,3.683
11,52.871,3.598
12,52.908,3.512
13,52.944,3.427
14,52.98,3.342
15,53.017,3.256
16,53.053,3.171
17,53.089,3.085
18,53.126,3.0
19,53.162,2.915
20,53.198,2.829
21,53.235,2.744
22,53.271,2.658
23,53.307,2.573
24,53.344,2.488
25,53.38,2.402
26,53.416,2.317
27,53.453,2.231
28,53.489,2.146
29,53.525,2.061
30,53.562,1.975
31,53.598,1.89
32,53.634,1.804
33,53.671,1.719
34,53.707,1.634
35,53.743,1.548
36,53.78,1.463
37,53.816,1.377
38,53.852,1.292
39,53.889,1.207
40,53.925,1.121
41,53.961,1.036
42,53.998,0.95
43,54.034,0.865
44,54.07,0.78
45,54.107,0.694
46,54.143,0.609
47,54.179,0.523
48,54.216,0.438
49,54.252,0.353
50,54.288,0.267
51,54.325,0.182
52,54.361,0.096
53,54.397,0.011
54,54.434,-0.074
55,54.47,-0.16
56,54.506,-0.245
57,54.543,-0.331
58,54.579,-0.416
59,54.615,-0.501
60,54.652,-0.587
61,54.688,-0.672
62,54.724,-0.758
63,54.761,-0.843
64,54.797,-0.928
65,54.833,-1.014
66,54.87,-1.099
67,54.906,-1.185
68,54.942,-1.27
69,54.979,-1.355
