,latitude,longditude
0,55.47341900177149,8.301921187910168
1,55.423,8.239
2,55.373,8.176
3,55.323,8.114
4,55.273,8.051
5,55.223,7.988
6,55.173,7.925
7,55.123,7.863
8,55.073,7.8
9,55.023,7.737
10,54.973,7.674
11,54.923,7.612
12,54.873,7.549
13,54.823,7.486
14,54.773,7.423
15,54.723,7.361
16,54.673,7.298
17,54.623,7.235
18,54.573,7.172
19,54.523,7.11
20,54.473,7.047
21,54.423,6.984
22,54.373,6.921
23,54.323,6.859
24,54.273,6.796
25,54.223,6.733
26,54.173,6.671
27,54.123,6.608
28,54.073,6.545
29,54.023,6.482
30,53.973,6.42
31,53.923,6.357
32,53.872,6.294
33,53.822,6.231
34,53.772,6.169
35,53.722,6.106
36,53.672,6.043
37,53.622,5.98
38,53.572,5.918
39,53.522,5.855
40,53.472,5.792
41,53.422,5.729
42,53.372,5.667
43,53.322,5.604
44,53.272,5.541
45,53.222,5.478
46,53.172,5.416
47,53.122,5.353
48,53.072,5.29
49,53.022,5.227
50,52.972,5.165
51,52.922,5.102
52,52.872,5.039
53,52.822,4.976
54,52.772,4.914
55,52.722,4.851
56,52.672,4.788
57,52.622,4.725
58,52.572,4.663
59,52.522,4.6
60,52.472,4.537
