,latitude,longditude
0,54.97876964024249,-1.3553315768007936
1,55.039,-1.377
2,55.1,-1.398
3,55.16,-1.419
4,55.221,-1.44
5,55.281,-1.461
6,55.341,-1.483
7,55.402,-1.504
8,55.462,-1.525
9,55.523,-1.546
10,55.583,-1.567
11,55.644,-1.589
12,55.704,-1.61
13,55.765,-1.631
14,55.825,-1.652
15,55.885,-1.673
16,55.946,-1.695
17,56.006,-1.716
18,56.067,-1.737
19,56.127,-1.758
20,56.188,-1.779
21,56.248,-1.801
22,56.309,-1.822
23,56.369,-1.843
24,56.429,-1.864
25,56.49,-1.885
26,56.55,-1.907
27,56.611,-1.928
28,56.671,-1.949
29,56.732,-1.97
30,56.792,-1.991
31,56.852,-2.013
32,56.913,-2.034
33,56.973,-2.055
34,57.034,-2.076
35,57.094,-2.097
36,57.155,-2.119
